timedelta_ms,Xacc,Yacc,Zacc
26,9.950302,-3.294421,5.420473
46,7.747637,-3.897760,3.495534
66,7.527370,-3.399766,2.662352
86,7.173028,-3.035848,2.652776
108,8.006210,-2.758120,2.557007
128,8.082825,-3.035848,2.499547
148,8.092402,-3.323152,1.877054
168,7.699753,-3.734955,0.909797
188,8.734048,-3.916914,0.603339
745,8.456321,-3.964798,0.957681
765,8.427590,-3.888184,0.919373
785,8.350976,-4.165911,0.842759
805,8.657434,-4.165911,0.497994
825,8.848969,-3.869030,0.536301
845,8.657434,-3.782839,0.536301
865,8.092402,-3.801992,0.651223
885,7.862558,-4.079720,0.852336
905,8.264784,-4.232949,1.005565
925,8.590396,-3.955221,1.235408
945,9.299079,-3.859453,1.158794
965,9.145850,-4.146757,1.225831
985,8.916007,-4.175488,1.417367
1008,8.628703,-4.405331,1.168370
1028,8.159439,-4.625597,0.871489
1048,8.149862,-4.711789,0.469264
1068,9.050082,-4.663905,0.430956
1088,9.844957,-4.232949,0.766145
1108,10.065224,-3.840300,1.168370
1128,10.065224,-3.629610,1.264138
1148,10.572795,-3.447650,1.474828
1168,9.806650,-3.399766,1.426944
1188,8.695741,-3.610456,1.407791
1208,8.360553,-4.089296,1.752556
1228,8.801085,-4.376601,1.857901
1248,9.911995,-4.165911,1.944092
1268,9.662998,-3.821146,1.589750
1288,8.638280,-3.744531,1.359907
1308,8.111555,-3.821146,1.216254
1328,9.940725,-2.691083,2.978387
1348,6.387730,-3.936068,1.426944
1368,7.278373,-3.706224,2.394202
1388,9.088389,-4.204218,1.426944
1408,9.308656,-3.888184,2.499547
1428,10.218452,-4.711789,3.112462
1448,8.427590,-3.620033,2.987964
1475,8.303091,-3.524265,2.997540
1495,7.680599,-3.667917,2.240973
1515,7.479486,-3.591303,1.944092
1535,8.408437,-3.734955,1.819593
1555,9.155427,-3.150769,3.313575
1575,8.916007,-2.834735,2.576161
1595,8.561666,-3.055001,2.030283
1615,8.465898,-2.777274,1.465251
1635,8.398860,-2.643199,1.905785
1655,8.418014,-2.518700,2.719813
1675,8.676587,-2.078167,3.323152
1695,8.561666,-2.039860,3.189077
1715,8.398860,-2.279280,2.691083
1735,8.178593,-2.183512,2.298434
1755,8.015787,-2.039860,2.212242
1775,8.140285,-1.982399,2.403779
1795,8.475474,-1.924938,2.480393
1815,8.398860,-1.972822,2.470816
1835,8.513782,-2.087744,2.308010
1855,8.963891,-2.030283,2.892196
1875,8.647857,-2.250550,3.830723
1895,8.446744,-2.355895,5.516241
1915,7.833828,-2.547431,5.908890
1935,8.121132,-2.710236,4.338294
1955,8.264784,-2.078167,4.271256
1975,8.628703,-1.771709,4.175488
1995,8.389283,-1.618480,3.936068
2015,8.245630,-1.714248,3.840300
2035,7.862558,-1.177947,3.505111
2055,8.370130,-1.369483,4.242526
2075,7.584831,-1.800440,3.869030
2095,8.034941,-1.742979,4.424485
2115,6.876147,-2.384625,4.683059
2135,8.216900,-1.915361,4.213795
2155,8.389283,-2.652776,5.640739
2175,11.683704,-3.801992,4.596867
2195,12.210428,-2.183512,4.022259
2215,9.595961,-1.656788,3.926491
2235,7.364564,-3.428497,3.543418
2255,6.033388,-4.031836,3.485958
2275,6.052542,-3.217807,2.892196
2295,12.689269,-1.896208,2.853889
2315,10.247183,-0.497994,1.647211
2335,10.553641,-1.771709,0.756568
2355,10.371682,-2.949656,0.047884
2375,8.159439,-3.658340,-0.239420
